vendor,ag_and_dead_market,ag_and_evo_market,h_ag_only,date_min,date_max
sunnysideup,0,0,1,2014-02-28,2014-11-07
sunnysouthafrica,1,1,0,2014-01-16,2015-07-07
sunnyvale_assassins,0,0,1,2014-12-28,2015-07-07
sunshines,1,0,0,2014-02-23,2015-07-07
sunspirit,0,0,1,2015-04-27,2015-07-04
sunwu,0,1,0,2014-04-26,2014-09-22
super168,1,0,0,2014-04-06,2014-04-06
supercanna,1,0,0,2014-12-01,2015-07-07
superdank,0,1,0,2014-02-28,2015-02-02
superdrugs,1,1,0,2014-04-26,2015-02-11
superdrugsoz,0,0,1,2014-08-03,2014-09-05
superhappyfuntimes,0,0,1,2015-07-07,2015-07-07
supermario-official,0,0,1,2014-12-23,2015-01-01
superschonn,0,0,1,2014-10-25,2015-01-28
superscripts,0,0,1,2014-02-28,2014-10-31
supershroomz,0,0,1,2014-02-23,2014-02-28
supersolid,1,1,0,2014-08-14,2015-07-07
superspeedbros,1,1,0,2015-03-29,2015-07-07
superstealthsam,0,1,0,2014-02-23,2015-02-02
superstore,0,0,1,2015-05-04,2015-07-07
superstrains,1,0,0,2014-02-02,2014-06-01
supplyanddemand,0,0,1,2014-03-03,2015-07-07
supplyguy,0,0,1,2015-03-19,2015-06-30
supremepaper,0,1,0,2014-10-25,2015-06-04
susnasmith,0,0,1,2014-01-09,2015-07-07
susples,0,1,0,2014-02-23,2014-03-06
sustain,0,0,1,2014-08-03,2014-10-25
svnslick,0,0,1,2015-04-07,2015-07-07
sw_psychedelics,0,1,0,2014-10-29,2014-11-15
swampdonkey,0,1,0,2014-10-25,2015-04-12
swazibudbud888,1,0,0,2014-04-06,2015-07-07
sweet_n_stoned,0,0,1,2015-06-04,2015-06-26
sweetmeats,0,0,1,2014-01-16,2014-10-31
sweetshop,0,0,1,2015-06-30,2015-06-30
sweetspot,0,0,1,2014-09-22,2015-07-07
sweettganjababe,1,1,0,2014-05-16,2015-07-07
sweettooth,0,0,1,2014-01-26,2014-04-06
swehasch,1,0,0,2014-03-03,2015-07-07
swenor,0,0,1,2014-12-20,2014-12-20
swepost,1,1,0,2014-02-23,2015-06-20
sweshroom,0,1,0,2014-02-23,2015-01-21
swissalps,0,0,1,2015-04-12,2015-04-27
swisschosek,0,0,1,2015-04-07,2015-07-07
swisshound78,1,1,0,2014-04-06,2015-07-07
swisspass,0,0,1,2015-05-04,2015-07-07
swissshop,1,1,0,2014-02-23,2015-01-16
swissshroomery,0,0,1,2014-02-28,2014-05-16
swissweed,0,0,1,2014-02-23,2014-09-22
sycopharma,0,0,1,2015-01-15,2015-06-30
sylterroyal,0,0,1,2015-06-20,2015-07-07
symetry,0,0,1,2015-02-24,2015-06-26
