,vendor,date_min,date_max, date_evo_min, date_evo_max,exact_Evo,exact_SR,exact_c9,hamming_SR,hamming_evo,hamming_c9,three_mkt,h_three_mkt,two_mkt,h_two_mkt,all_mkt,h_all_mkt,ag_and_dead_market,ag_and_evo_market,h_ag_only
2053,budmaster,2015-02-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
2054,deeko,2015-03-22,2015-07-07, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
2055,j_rock,2015-06-13,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
2056,zen_garden,2014-05-03,2015-07-07,,,,,,1,0,0,,0,,1,,0,1,0,0
2057,nxtlevel,2015-03-13,2015-07-07, 2015-03-26, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
2058,el-jefe,2015-04-27,2015-05-10,,,,,,0,0,0,,0,,0,,0,0,0,1
2059,premiumspores,2015-02-17,2015-06-26,,,,,,0,0,0,,0,,0,,0,0,0,1
2060,goldenman,2015-03-22,2015-07-07, 2015-03-10, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
2061,710superstore,2015-03-22,2015-07-07, 2014-12-03, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
2062,captplanet,2015-03-25,2015-05-10,,,,,,0,0,0,,0,,0,,0,0,0,1
2063,thebank,2015-03-22,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
2064,thepillguyaus,2015-01-16,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
2065,shroomstore,2015-02-09,2015-04-23, 2014-11-18, 2015-01-04,1.0,,,0,1,0,,0,,1,,0,0,1,0
2066,theopguy,2015-02-01,2015-02-11,,,,,,1,1,0,,1,,1,,0,0,1,0
